Id,communities
C10-1148,9
W06-3308,14
W11-0709,3
W11-0705,27
W11-0704,19
W06-0901,11
W04-1501,21
W04-1506,12
W04-1505,0
W09-0706,21
W94-0312,67
W12-3149,31
C00-2148,22
W94-0319,6
C00-2143,68
C00-2141,12
C00-2140,3
C04-1201,4
C04-1200,27
C04-1204,50
C08-1048,107
C02-1003,11
W12-4402,25
P06-1130,6
C02-1007,25
W05-1627,6
W05-1628,6
W10-1603,21
P13-1158,14
P13-1159,27
P11-2055,20
W04-0714,4
P13-1151,48
P13-1152,6
P10-1158,6
D09-1059,50
D09-1057,4
P10-1157,6
P10-1150,7
D09-1050,15
P04-3014,20
W03-1602,6
S12-1024,7
W04-0906,13
S12-1022,50
W10-3110,11
P04-1016,4
W04-0909,47
S12-1028,7
P07-1115,22
P07-1111,31
W00-0738,0
N01-1025,19
W00-0732,12
W00-0733,19
W00-0737,12
W00-0734,19
D10-1106,7
D10-1104,13
I08-4030,26
D10-1108,7
D10-1109,4
W10-2802,13
W10-2807,25
W10-1825,0
H01-1020,12
H01-1027,14
H01-1024,14
H01-1028,7
H94-1084,12
W04-2411,22
W04-2410,50
N13-1036,39
W12-3156,47
D12-1070,15
N03-2027,21
N03-2024,26
N03-2025,26
D12-1079,12
N03-3006,16
N03-3005,75
W12-3153,48
N03-3009,3
C08-1046,8
P12-1028,13
J92-1001,41
P12-1027,34
P12-1026,11
C96-1011,12
C10-1118,15
P06-1094,78
W13-2302,21
W13-2309,27
P06-1099,21
J96-2002,79
J96-2003,12
L08-1117,60
W11-2024,1
P08-2054,11
P08-2056,80
C08-1132,22
C08-1131,50
W01-1605,51
C08-1137,15
C08-1134,14
I05-6008,22
I05-6006,11
I05-6004,10
I05-6003,11
I05-6002,13
I05-6001,50
W01-0814,51
W01-0815,6
W01-0810,6
P11-1148,7
C94-2122,12
W01-0813,6
P11-1144,13
P11-1143,20
D08-1058,27
C04-1058,7
C04-1059,48
C04-1054,22
C04-1055,81
C04-1056,0
I05-2022,21
C04-1050,22
C04-1051,9
C04-1052,21
C04-1053,47
J86-3002,28
L08-1596,11
W00-0207,53
W99-0612,26
P93-1024,12
P93-1021,24
W11-1422,2
P06-2031,13
P06-2032,36
W02-1040,21
W11-2602,39
P06-2038,11
E12-1005,14
W06-2402,21
W06-2403,47
W09-1008,21
W09-1007,9
W09-1001,0
C92-2122,28
W06-3316,4
W09-0715,12
W03-1204,4
W03-1205,16
W03-1206,10
W03-1207,11
C00-2174,86
W03-1203,12
W03-1208,4
P11-1063,15
P11-1061,21
P11-1067,7
C96-2138,90
P11-2045,16
W10-1612,22
P11-2046,16
W10-1617,6
P11-2069,9
P13-1146,7
W04-0707,4
W04-0705,26
W04-0704,16
D09-1041,5
P11-2067,0
D09-1043,6
D09-1049,21
P07-3005,57
P04-3022,14
D11-1050,22
P04-3020,20
P13-1125,15
P06-2074,16
P04-1087,11
W02-0312,12
P04-1083,11
W02-0311,26
S12-1031,21
N12-1052,68
S12-1035,12
S12-1034,5
N12-1056,34
W93-0109,12
W93-0108,22
W00-0727,19
W00-0726,12
W00-0721,12
J09-1008,31
S13-2083,13
I08-4008,9
I08-4009,34
N03-4005,42
S13-2087,27
D09-1062,27
I08-4002,25
I08-4006,20
I08-4007,11
W06-1323,1
P04-1067,25
H93-1034,6
D10-1113,13
H90-1052,12
D10-1119,50
H90-1055,12
H90-1057,41
W10-1831,21
H01-1010,22
J00-4004,12
J00-4003,26
J00-4002,81
J00-4001,150
P04-1061,0
W97-1007,94
W12-3201,12
J11-4005,12
J11-4007,5
J11-4006,50
W01-1513,12
P05-1024,11
N03-2030,81
N10-1018,2
N10-1019,2
N10-1016,15
N10-1014,15
N10-1012,26
N10-1013,7
N10-1010,10
W07-0102,97
P12-1018,20
P12-1016,34
P98-1108,12
P08-2040,20
W08-1007,0
W08-1006,0
W08-1005,11
L08-1108,16
W99-0708,22
C08-1109,2
C08-1106,19
C08-1104,27
C08-1103,3
C08-1100,9
W97-0608,6
W97-0602,0
W97-0606,0
W01-0807,6
W01-0804,6
W01-0802,6
W01-0808,6
C04-1048,13
C04-1047,23
C04-1046,23
C04-1045,20
C04-1044,36
C04-1042,56
C04-1041,50
C04-1040,11
C92-1033,12
W06-1651,14
C92-1038,6
W11-1007,15
W06-1652,27
L08-1585,20
L08-1584,13
W13-2409,57
P98-1081,12
J11-2001,27
P93-1035,12
P93-1033,22
W13-2512,25
W13-2513,27
W11-1412,2
W13-2515,9
W11-1411,11
N06-2050,3
N06-2051,20
P06-2027,16
J05-4004,5
J83-1003,28
P06-2022,16
J05-4005,26
P06-2029,11
P06-2028,16
C02-1095,42
J05-4002,9
W06-3327,50
W06-3325,26
E03-1048,19
E03-1040,22
E03-1041,21
N07-2002,22
W08-1810,13
P02-1057,5
C00-2167,26
P11-2118,13
C00-2161,33
W12-3160,31
W03-1211,26
C00-2162,20
W98-1419,6
W07-2053,11
P02-1055,12
W07-2056,101
W07-2057,16
P02-1053,27
W05-0405,21
W03-0417,19
W03-0415,7
W04-1006,3
W05-1604,6
W05-1605,36
W05-1602,6
W05-1603,6
W05-1601,6
W05-0404,12
P13-1170,13
P13-1171,9
D09-1034,42
P04-3033,24
W96-0109,10
D09-1032,13
D09-1039,15
W02-0308,12
W02-0301,26
W02-0302,26
W02-0305,104
W02-0304,99
W02-0306,22
W96-0102,12
N12-1049,50
W11-0103,50
C02-1148,34
S12-1046,5
N12-1047,31
N12-1046,48
W96-0101,12
W06-3502,81
W06-3503,81
E06-1050,4
E06-1051,14
E06-1052,16
C02-1145,11
C02-1146,22
W03-0808,26
N01-1013,22
N01-1014,57
N01-1016,11
W03-0801,16
N01-1019,15
W03-0802,0
W03-0807,16
W03-0806,7
H93-1008,105
I08-4019,34
C02-1142,16
I08-4015,34
C02-1143,26
W91-0216,41
P01-1038,6
W04-3251,10
W04-3252,20
W04-3253,27
W04-3256,31
P95-1006,35
E03-3004,0
C10-2122,31
W10-1805,12
P95-1008,79
W99-0634,26
P98-2136,42
P98-2134,47
P98-2131,42
E99-1042,12
E99-1040,35
P06-4007,13
J98-2002,22
D12-1057,76
N10-1003,11
D12-1055,2
D12-1052,31
N10-1004,8
D12-1050,9
N10-1006,3
W07-1429,9
D12-1058,5
L08-1357,21
P96-1050,12
H01-1009,14
C96-1034,61
C96-1036,12
C96-1031,35
E06-3003,16
H01-1002,19
H01-1006,10
W06-1803,81
W06-1807,16
W13-3108,13
L08-1133,47
L08-1136,34
L08-1137,4
P98-1112,0
P98-1117,47
P98-1116,6
P98-1118,6
C08-1110,5
C08-1113,34
W10-0213,26
W10-0216,27
C08-1118,111
W05-0903,31
W05-0901,31
W05-0907,31
W05-0904,15
W05-0905,3
C04-1072,31
C04-1073,15
C04-1070,113
C04-1071,27
C04-1077,8
C04-1074,0
C04-1075,24
C04-1078,16
C04-1079,51
P93-1003,12
P93-1005,12
W11-1402,13
W13-2503,25
P06-2018,11
P06-2019,5
W07-0909,8
W13-2505,9
W13-2504,25
P07-3016,22
H89-2012,12
H89-2011,28
W13-2508,6
W07-0901,7
P06-2014,15
D11-1042,31
D11-1043,13
D11-1045,15
W06-2937,11
J99-4005,12
J99-4003,12
W03-0704,10
C94-2108,12
W06-3402,12
C94-2106,47
W06-3408,3
E03-1058,3
W09-1607,5
I08-1030,20
I08-1031,25
I08-1033,34
I08-1039,27
E03-1051,11
W08-1801,13
P09-1098,25
W08-1809,11
W07-2047,27
P09-1091,6
P05-2023,21
P10-1058,5
P10-4006,9
P10-1050,21
P10-1051,12
W05-1612,6
W05-1614,6
P10-1056,13
W05-1616,6
W10-2105,13
W10-2109,22
A00-1030,34
A00-1031,21
A00-1032,26
A00-1033,0
A00-1034,26
A00-1035,35
A00-1036,34
A00-1038,26
A00-1039,14
J90-3003,12
W11-2408,11
D09-1025,7
W06-2209,0
D09-1020,27
W11-2401,4
W06-2201,12
W06-2207,16
W06-2204,16
D09-1028,7
I05-1007,11
I08-1053,25
W11-0137,4
W11-0133,114
S12-1051,9
W04-1712,11
W94-0107,12
E12-1047,0
J12-3005,22
P07-1078,11
E06-1047,39
E06-1046,24
W12-3409,22
W12-3406,22
W12-3407,35
W12-3402,9
P03-1052,145
N01-1003,6
N01-1001,6
M91-1026,28
M91-1021,12
N01-1006,7
W06-1603,9
P08-1081,51
P08-1087,12
P03-1055,11
W06-1306,49
E03-1033,176
W06-1304,6
W06-1309,42
E06-2024,21
W04-3249,121
W04-3248,15
P06-3001,55
E06-2026,14
E09-3006,4
W04-3244,3
P95-1017,47
C10-2032,11
W10-1812,10
C10-2133,16
C10-2137,16
C10-2136,15
P98-2123,12
C10-2037,19
A97-1007,0
E09-1021,7
D12-1089,15
P11-1127,19
W00-1211,12
P96-1041,12
W04-2707,0
P96-1042,10
P96-1045,61
P96-1048,12
W04-2709,16
W06-0306,27
W06-0301,27
W03-0611,20
W06-0303,27
W03-0613,12
P12-1071,11
D13-1194,27
P98-1010,12
D09-1161,11
D13-1190,27
D13-1191,27
H01-1072,11
D13-1193,7
P08-3008,127
W06-1604,50
C90-3064,41
L08-1126,4
C90-3063,12
P08-3003,5
P08-2060,26
P08-2068,3
W10-0202,27
D12-1048,13
D12-1047,48
D12-1046,34
W97-0409,19
W01-0514,3
C04-1064,8
C04-1067,34
C04-1066,34
C04-1061,128
C04-1060,15
C04-1063,5
J02-4005,5
C04-1069,44
P11-4013,3
P04-2010,0
P04-2011,21
C92-1055,12
W93-0210,6
W01-0512,12
P06-1040,14
P06-1041,11
P06-1043,8
P06-1044,22
P06-1048,5
P06-1049,130
W12-2036,2
W01-0519,21
W01-0518,66
P07-3003,0
P06-2009,11
P07-3007,27
P06-2005,19
P06-2004,50
P06-2006,50
P06-2003,31
W06-2922,11
W06-2920,16
D11-1056,34
D11-1054,6
W97-0713,5
C94-2118,41
W01-1510,8
W01-1511,15
W99-0107,7
W99-0104,24
E03-2012,21
E03-2013,31
E03-2010,42
E03-1068,0
E03-1064,21
P09-1082,8
P09-1085,34
J04-1001,19
P09-1086,12
N06-2019,11
W07-2070,13
E87-1038,28
P10-4012,5
P10-4010,132
P10-1043,27
P10-1042,27
P10-1041,27
P10-1040,19
P10-1046,13
J06-2001,22
C92-2085,22
C92-2089,41
N09-3017,11
J97-2002,3
N09-3013,27
N09-3010,27
A00-1023,10
A00-1022,0
A00-1021,10
D09-1019,27
A00-1026,12
A00-1025,10
A00-1024,34
D09-1012,11
A00-1028,52
D09-1016,16
J06-1004,134
J06-1005,11
J06-1002,3
A92-1007,70
P06-1088,50
N12-1062,31
S12-1067,5
C00-2131,15
W02-1108,22
W02-1109,26
N13-1106,4
N01-1030,42
P08-1094,13
P08-1096,4
P08-1090,13
P08-1092,13
W06-1314,26
W06-1317,3
W06-1313,49
H90-1069,41
E09-3011,10
J87-1007,137
W98-1001,26
C10-2106,5
C10-2104,26
C10-2105,4
C10-2103,2
C10-2100,27
C10-2101,22
P98-2153,41
P98-2159,139
W12-6210,124
C02-2002,140
C02-2005,3
C02-2006,21
C02-2007,11
W00-1201,26
W00-1203,9
W05-0211,22
D07-1018,22
D07-1019,141
W04-1905,50
W04-1903,21
P11-1103,31
W04-1901,10
W07-1407,10
N10-1065,25
W07-1405,11
N10-1063,9
N10-1061,11
L08-1331,17
W07-1408,50
C88-2166,41
P96-1030,12
C88-2160,28
P96-1039,6
W13-3616,2
W13-3617,2
W13-3612,2
W13-3613,12
W10-4218,6
H01-1069,10
P12-1060,27
H01-1067,104
D13-1186,14
W10-4216,50
D13-1183,9
H01-1062,20
P12-1069,11
C90-3071,41
C90-3077,41
L08-1485,142
L08-1489,42
I05-1075,21
P08-3010,22
W10-1004,2
W10-1005,2
P08-2011,4
P08-2012,4
C00-1054,24
I05-1071,34
E12-1012,48
J89-1003,41
J89-1001,28
D12-1039,13
W97-0411,19
W04-1122,47
P11-4005,2
P11-4002,21
P04-2003,21
W04-2113,90
W04-2117,25
P04-2009,11
P04-2008,22
P06-1053,34
C02-1101,0
P06-1051,11
P06-1050,12
C02-1104,143
C02-1105,50
P06-1055,11
P06-1054,11
C02-1108,50
C02-1109,47
P06-1059,26
W10-3705,11
W13-1613,27
N06-3009,14
N06-3004,15
D08-1083,27
N06-3002,24
W03-1014,16
H89-2031,28
P11-1155,13
P04-1032,50
D11-1066,11
W06-2917,0
W06-2914,3
W06-2912,0
W06-2913,50
D11-1060,45
D11-1061,13
W01-1503,21
W01-1505,16
W13-2262,20
W12-1707,22
W98-0501,16
W98-0503,35
E03-2005,144
W96-0203,22
E03-2006,145
W96-0205,12
W96-0207,12
W96-0206,12
W96-0209,12
W96-0208,12
I08-1016,5
E03-1070,10
E03-1073,12
E03-1072,1
E03-1074,0
E03-1076,21
A97-2002,80
A97-2003,0
A97-2005,16
A97-2007,127
C00-2110,8
J13-3008,7
W07-2065,26
W12-3111,23
J13-3001,9
J13-3006,13
J13-3004,146
J13-3005,36
D08-1019,6
J96-1001,47
P10-1079,19
P10-1074,14
P10-1075,8
P10-1072,97
P10-1070,45
N09-3001,19
N09-3004,6
W06-2607,10
N09-3008,57
C96-2192,12
A00-1016,42
A00-1017,6
A00-1014,1
W13-2702,39
A00-1012,3
A00-1013,12
A00-1010,11
W13-2706,147
W13-2709,16
A00-1018,20
D09-1002,13
D07-1058,0
D07-1059,3
P96-1037,6
D07-1050,50
D07-1052,0
D07-1054,122
D07-1055,31
D07-1056,15
D07-1057,4
W00-0505,6
N03-1035,12
W00-0507,20
N03-1037,13
N03-1030,11
N03-1031,11
N03-1033,21
W06-2002,11
W06-2003,25
W06-2005,21
S12-1076,9
W02-1113,2
W02-1112,16
W02-1111,10
W09-1402,9
W02-0812,19
N12-1019,9
J03-3002,47
J03-3001,8
J03-3005,22
J03-3004,19
W09-1106,11
J01-1003,99
P08-1064,15
P08-1067,11
S10-1089,27
S10-1083,19
J08-1002,50
W10-2302,7
P95-1039,12
P95-1038,28
W10-2308,7
W10-2309,7
P95-1036,61
P95-1033,47
C10-2119,6
P98-2145,122
P98-2143,24
P98-2142,35
P98-2140,3
P99-1004,12
W07-0726,19
P98-2149,55
W07-0723,20
W05-0208,81
C02-2019,34
C02-2018,12
E99-1018,12
W05-0201,3
E99-1016,0
C02-2010,35
W05-0205,10
W05-0207,12
C02-2014,90
N01-1029,11
P01-1039,26
N01-1020,39
N01-1023,12
P01-1033,151
P01-1034,12
P01-1035,12
P01-1036,21
P01-1037,10
L08-1324,152
L08-1323,2
P96-1025,12
P96-1021,47
P96-1020,28
W02-1905,10
W02-1907,5
D13-1185,16
W02-1902,153
P12-1058,51
P12-1059,7
W06-1105,3
W13-3609,21
W06-1107,57
P12-1052,50
P12-1050,15
P12-1055,26
H01-1052,2
H01-1050,26
W09-2503,9
W09-2504,10
W09-2506,13
H01-1055,6
W09-2508,7
W10-4205,6
W10-4201,31
L08-1494,0
L08-1490,11
L08-1492,18
P08-2004,27
P08-2002,0
C08-1141,2
C08-1144,11
C08-1145,19
W09-0904,155
W09-0905,12
W03-1301,26
W97-0314,12
N10-1058,11
W03-1303,47
W97-0312,26
W97-0313,12
D12-1027,39
W07-1410,9
D12-1024,5
D12-1023,6
W07-1414,3
W04-1017,5
W04-2103,65
W04-2105,3
W04-2108,131
P06-1066,15
C02-1112,19
P06-1064,0
C02-1110,26
C02-1117,47
W06-0506,156
C02-1115,16
P06-1061,26
C02-1119,4
W06-0508,14
C04-1117,20
P06-1068,113
D08-1091,0
D08-1097,4
D08-1096,25
C04-1111,7
W08-0318,0
W08-0319,20
N06-2011,19
W06-2903,11
W06-2902,13
W06-2905,0
W08-0315,21
W06-1664,47
P92-1032,12
P92-1034,6
H05-1104,34
H05-1106,21
H05-1100,11
H05-1102,11
H05-1108,13
I08-1009,25
I08-5013,26
I08-5010,26
I08-5015,26
I08-1002,22
I08-1007,25
E03-1005,11
E03-1006,6
E03-1007,20
E03-1002,11
E03-1003,2
A97-2013,3
C02-1078,4
A97-2017,16
A97-2016,0
A97-2014,2
W07-2015,13
I05-1087,25
W02-0606,145
C02-1074,121
W06-0205,21
W03-2128,120
W04-2327,5
W06-0206,26
P10-1060,27
J00-3004,47
P10-1062,23
P10-1064,23
P10-1068,16
A00-1009,6
W11-0322,7
W11-0321,27
W11-0320,19
W06-0202,16
W11-0324,3
A00-1002,39
A00-1005,10
A00-1004,20
A00-1007,120
A00-1006,85
C00-1002,22
W06-3504,10
D07-1048,25
C00-1001,35
D07-1040,51
N03-1027,42
N03-1026,5
N03-1024,11
N03-1022,10
P00-1042,26
N03-1029,3
N03-1028,13
N12-1007,47
W09-1418,24
W09-1410,8
W11-0149,50
N12-1008,16
E06-1018,89
E06-1019,15
E06-1017,47
E06-1011,11
E06-1012,8
D11-1119,2
W13-1403,107
P13-1068,21
P08-1077,7
E09-1087,21
P08-1079,7
P13-1067,27
C00-2116,3
S10-1092,10
W04-3214,21
W04-3215,50
W10-2311,7
W04-3217,11
W04-3210,3
W04-3213,22
W04-3219,9
W03-1718,26
C10-2164,25
C10-2166,50
C10-2167,26
C00-2117,16
C10-2168,50
W98-1205,12
W98-1207,0
W07-0738,31
W07-0736,31
W07-0735,20
W98-1208,16
W00-0310,1
W00-0311,42
W00-0312,42
C02-2026,24
C02-2027,106
C02-2024,75
C02-2025,50
C02-2022,57
C02-2023,82
E99-1001,26
C02-2021,97
C00-2149,6
W12-3148,48
C90-2051,88
P01-1028,36
P01-1023,6
P01-1022,42
J85-1001,28
P01-1027,20
P01-1026,10
L08-1310,3
P96-1010,12
W10-1313,10
W06-1111,21
W06-1110,0
P12-1048,48
J94-2001,71
P12-1044,22
W12-2606,13
P12-1042,27
H01-1045,26
W10-4237,6
H01-1043,22
H01-1042,3
P98-2176,26
P98-2175,90
C90-3010,12
P08-2030,21
P08-2034,27
P08-2035,6
W11-0411,7
W97-0704,5
W01-1610,1
W11-0415,21
N06-2049,34
P09-2023,1
W97-0307,16
W99-0622,22
D12-1017,22
N10-1044,5
N10-1040,15
W99-0621,12
H05-1001,11
W04-1106,9
W04-1107,11
W07-1607,2
P11-4021,20
W07-1601,160
P11-4023,51
W07-1603,19
A92-1044,22
W04-1109,34
P06-1079,4
C02-1100,29
W00-0740,50
W11-2150,15
P06-1052,50
P06-1071,3
C02-1102,10
P06-1076,47
C02-1126,11
C02-1127,26
C02-1124,161
C02-1125,25
C02-1122,22
C02-1123,33
C02-1120,8
C02-1121,0
P06-1057,162
C02-1128,5
P06-1056,20
C02-1107,11
N06-2007,14
N06-2004,3
N06-2001,12
D11-1004,31
D11-1005,12
W08-0301,20
W08-0307,15
D11-1001,14
W08-0305,23
P92-1023,12
P92-1021,35
W02-1035,12
W02-1036,19
H05-1117,31
H05-1114,27
H05-1111,22
H05-1110,39
H05-1118,12
I08-5005,26
I08-5004,26
I08-5007,26
W09-1311,22
I08-5003,19
P84-1116,28
I08-1070,9
I08-1071,7
W98-0304,6
E03-1015,26
C96-2209,71
C96-2203,90
W04-2316,163
W04-2312,21
W04-2311,6
A83-1009,28
A83-1002,153
A83-1003,28
A83-1004,28
A83-1006,28
A83-1007,28
W13-1012,161
D08-1080,13
W11-0311,27
W11-0319,16
J09-2003,11
C04-1168,142
D07-1078,11
C04-1160,13
C04-1161,22
C04-1162,20
D07-1075,16
D07-1072,11
C04-1166,5
D07-1071,50
W02-0404,5
W02-0405,26
W02-0402,7
W02-0403,7
W02-0401,164
N12-1030,11
P12-2001,11
P12-2003,11
P12-2007,11
E06-1005,19
E06-1004,20
E06-1003,7
E06-1001,50
W98-1120,26
W08-2006,23
W08-2005,9
W08-2002,50
P08-1043,0
P08-1040,5
P08-1041,51
P13-1072,34
P08-1048,9
P13-1074,11
W03-1709,26
P10-1154,7
W03-1701,19
W03-1703,3
W03-1705,34
D09-1054,51
W03-1707,11
W03-1706,12
W04-3206,14
W04-3204,21
W04-3203,21
W04-3202,50
W97-1202,6
W04-3209,3
C10-2177,3
C10-2176,11
N10-2002,13
C10-2173,27
C10-2170,130
N03-1013,6
N03-1010,20
D09-1051,21
N03-1017,0
N03-1014,11
N03-1015,20
W07-0706,15
W07-0707,20
W98-1211,12
E99-1031,24
H05-1052,20
W04-0404,25
C90-2044,12
P01-1017,11
P01-1015,6
P01-1012,1
P01-1010,11
P01-1011,50
L08-1301,34
P96-1008,12
P07-1011,2
P96-1006,12
P07-1017,12
W10-4224,108
W10-4223,9
P98-2165,6
W10-3903,5
P12-1079,48
P08-2029,4
W10-3906,7
W10-3909,76
W10-4006,47
L08-1146,165
N04-2003,26
N04-2002,26
E03-2003,5
N04-2007,26
N04-2009,11
W11-2204,0
D12-1006,27
D12-1003,25
D12-1002,25
W04-1119,26
W04-1111,25
W04-1112,25
W04-1114,11
W04-1117,2
C02-1139,4
E03-1071,21
W06-1642,27
C02-1131,0
C02-1130,7
C02-1133,34
C02-1132,22
C02-1134,19
P06-1002,20
C02-1136,11
W09-0212,0
C90-3029,54
W09-0215,9
P06-4017,50
W11-1306,34
N06-2039,22
W06-0705,13
W06-0704,13
W06-0706,5
N06-2033,11
W11-1308,11
D11-1018,15
D11-1017,15
W08-0334,122
W08-0335,34
D11-1013,13
W08-0333,20
D11-1011,7
P11-2126,11
H05-1122,3
H05-1123,7
H05-1126,1
P10-2061,5
J04-4001,6
P10-2065,2
P10-2066,26
C02-1088,26
W13-2412,26
E03-1029,15
I08-1069,15
P84-1108,28
E03-1023,25
E03-1020,7
E03-1026,21
P84-1102,28
I08-1060,25
I08-6004,25
E09-2012,47
E09-2015,5
I08-6002,47
P09-2079,27
W04-2302,6
W04-2309,49
A83-1018,179
P10-1003,11
P10-1002,11
A83-1013,137
W11-0303,16
A83-1017,28
A83-1016,28
A83-1015,28
A83-1014,28
W13-1003,25
W13-1001,27
W13-2027,14
W12-3109,23
D07-1063,8
D07-1062,13
D07-1065,11
D07-1064,33
D07-1066,0
D07-1069,20
D07-1068,34
C04-1170,167
C04-1177,162
C04-1176,25
C04-1175,168
C04-1174,22
W12-2508,27
N12-1020,107
N12-1023,31
P12-2013,27
E06-1031,31
E06-1034,12
E06-1035,3
E06-1038,11
P86-1005,28
C02-1156,13
W04-3101,26
C08-1053,9
P13-1048,13
C08-1054,8
P13-1045,11
P13-1043,11
P13-1040,25
P13-1041,27
W06-1641,27
C08-1056,149
W10-3205,20
W09-2207,16
W04-3233,11
W09-2205,50
W04-3231,21
P09-4010,6
W04-3234,26
C10-2142,22
C10-2141,10
C10-2146,11
N03-1036,7
N10-3010,15
N03-1004,19
N03-1003,19
N03-1002,26
W07-0717,48
W07-0711,20
I08-1043,13
E99-1024,87
P05-1072,13
P05-1073,11
P05-1075,47
P05-1076,22
I08-4033,34
E99-1028,12
P01-1003,171
P01-1005,2
P01-1004,91
P01-1006,16
P08-1050,22
P08-1054,3
P08-1057,22
P08-1056,26
N06-1046,14
P07-1008,22
N06-1042,12
N06-1043,172
N06-1040,11
N06-1041,11
P07-1001,15
J83-3003,28
J83-3002,28
N07-4004,142
P98-2191,3
P98-2199,6
C00-2086,33
D09-1008,48
W11-2210,19
W06-3811,20
A00-1011,16
W97-0320,0
W97-0322,19
C02-1098,21
C02-1099,25
C02-1096,145
C02-1097,26
C02-1094,74
N09-1013,20
C02-1092,83
C02-1093,0
C02-1090,65
C02-1091,2
A00-1019,20
W11-2132,48
W11-2133,48
W06-3604,9
W06-3607,14
W06-3601,15
C02-1149,145
P06-1018,36
P06-1017,14
P06-1016,14
P06-1015,7
C02-1147,170
C02-1140,90
P06-1011,25
P06-1010,38
W09-0204,4
D10-1010,9
D10-1012,7
C90-3031,41
C90-3030,12
D10-1016,107
N06-2029,19
N06-2028,16
N06-2026,11
D11-1020,15
W08-0325,21
P92-1004,24
P92-1006,12
W09-2108,2
I08-1052,15
P03-1059,34
E03-1038,26
I08-1054,10
I08-1055,4
E03-1034,22
E03-1037,22
P03-1054,11
E03-1030,36
P03-1056,11
P03-1057,15
P09-1031,7
E09-2001,36
W00-0506,26
P09-1034,31
W07-2028,11
P09-1036,11
P09-1039,14
E09-1023,21
E09-1026,13
E09-1027,11
W04-1304,155
H05-1079,50
W04-3110,12
W06-2705,21
A83-1028,28
A83-1029,19
A83-1027,28
J02-3002,3
E09-1053,50
D07-1014,11
N12-1017,31
D07-1012,2
C04-1149,25
C04-1146,9
C04-1147,25
C04-1145,27
C04-1142,92
C04-1143,51
C04-1140,0
W12-6217,142
J10-3005,5
J10-3004,4
J10-3003,9
W06-1636,11
I05-1034,14
J10-3009,15
J10-3008,102
E06-1025,27
E06-1027,27
E06-1021,9
E06-1020,20
D09-1138,22
E06-1029,25
W05-0639,14
